county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
台北市,信義區,總站,台北市信義區吳興街486號488號1樓,25.0234125,121.5695056,,1,1,1,1
台北市,信義區,總部,台北市信義區東興路67號1樓,25.0466037,121.5669247,,1,1,1,1
台北市,信義區,聯合,台北市信義區忠孝東路四段559巷6號,25.0418958,121.5637402,1,1,1,1,1
台北市,信義區,醫學,台北市信義區吳興街257號259號,25.027249,121.5637452,1,1,1,1,1
台北市,信義區,麟運,台北市信義區和平東路三段461號461之1號1樓,25.0187114,121.5589378,1,1,1,1,1
台北市,信義區,鑫吉,台北市信義區虎林街85號,25.0447069,121.577308,1,,1,,1
台北市,信義區,鑫國泰,台北市信義區忠孝東路五段68號24樓,25.0404786,121.5670151,1,1,1,1,1
台北市,台北市,鑫麟,台北市信義區和平東路三段391巷22號24號1樓,25.0203792,121.5583509,1,1,1,1,1
台北市,大安區,大台,台北市大安區羅斯福路三段333巷18號1樓20號1樓(部分),25.017604,121.532554,1,1,1,1,1
台北市,大安區,大信,台北市大安區信義路三段33號,25.0337761,121.5346933,1,1,1,1,1
台北市,大安區,大敦,台北市大安區敦化南路二段63巷7號1樓,25.0310959,121.5496266,1,1,1,1,1
台北市,大安區,中廣,台北市大安區仁愛路三段25-1號27號,25.0385774,121.5344277,1,1,1,1,1
台北市,大安區,仁安,台北市大安區仁愛路四段27巷1號,25.0387677,121.5453595,1,1,1,1,1
台北市,大安區,仕吉,台北市大安區忠孝東路四段223巷42號,25.0437427,121.5533014,1,1,1,1,1
台北市,大安區,台科一,台北市大安區基隆路四段43號1樓,25.0131007,121.5401068,1,1,1,1,1
台北市,大安區,永康,台北市大安區永康街43號,25.0304198,121.5296184,1,1,1,,1
台北市,大安區,禾光,台北市大安區和平東路二段63號1樓,25.0257716,121.5386283,1,1,1,,1
台北市,大安區,立仁,台北市大安區安和路二段74巷1號,25.0300941,121.551632,,1,1,,1
台北市,大安區,光忠,台北市大安區復興南路一段107巷5弄1號1樓,25.0437189,121.5444305,1,,1,1,1
台北市,大安區,吉孝,台北市大安區忠孝東路四段299號,25.041614,121.55532,1,1,1,1,1
台北市,大安區,吉忠,台北市大安區延吉街72號,25.0425123,121.5541231,1,1,1,1,1
台北市,大安區,合旺,台北市大安區復興南路二段151巷41號,25.0284853,121.5453996,1,1,1,1,1
台北市,大安區,合維,台北市大安區四維路170巷8號1樓,25.028112,121.5476585,1,1,1,1,1
台北市,大安區,安居,台北市大安區安居街33號,25.0204611,121.5544888,1,1,1,1,1
